Clave de la entidad federativa,Entidad federativa,Clave del municipio,Municipio,Social.lag.index.2005,Level.Social.Lag.2005,Poverty.Pct.2010,Extreme.Poverty.Pct.2010,Moderate.Poverty.Pct.2010,Vulnerables.SocialCare.Pct.2010,Educ.Lag.Pct.2010,Lack.Access.To.HealthServices.Pct.2010
10,Durango,10002,Canelas,1.43573,High,80.05,36.13,43.92,17.06,45.95,31.57
10,Durango,10003,Coneto de Comonfort,-0.29023,Low,74.73,25.49,49.24,21.63,29.9,31.06
10,Durango,10004,CuencamÌ©,-0.78279,Very Low,57.25,9.32,47.94,25.02,21.65,25.33
10,Durango,10005,Durango,-1.41023,Very Low,41.71,5.05,36.66,21.65,13.02,25.55
10,Durango,10006,General SimÌ_n BolÌ_var,-0.43117,Low,57.1,11.83,45.27,38.26,30.26,30.36
10,Durango,10007,GÌ_mez Palacio,-1.46611,Very Low,44.2,5.86,38.34,16.41,16.89,28.91
10,Durango,10008,Guadalupe Victoria,-1.05286,Very Low,58.84,12.5,46.34,26.03,19.39,53.12
10,Durango,10009,GuanacevÌ_,0.6538,High,63.73,27.09,36.64,27.77,40.21,45.5
10,Durango,10010,Hidalgo,-1.07054,Very Low,56.3,7.45,48.85,34.22,25.97,20.15
10,Durango,10011,IndÌ©,-0.99781,Very Low,64.48,11.9,52.58,27.96,34.16,26.89
10,Durango,10012,Lerdo,-1.2843,Very Low,45.38,5.25,40.13,21.07,16.64,24.82
10,Durango,10013,MapimÌ_,-0.83098,Very Low,61.64,13.82,47.82,24.18,26.07,34.93
10,Durango,10014,Mezquital,2.43751,Very High,89.66,65.05,24.6,9.05,42.86,38.88
10,Durango,10015,Nazas,-0.9005,Very Low,61.22,12.59,48.63,27.27,23.63,26.13
10,Durango,10016,Nombre de Dios,-0.73083,Very Low,64.63,13.96,50.67,24.56,21.74,33.74
10,Durango,10017,Ocampo,-1.04246,Very Low,57.01,10.24,46.77,28.3,24.8,29.36
10,Durango,10018,El Oro,-1.11633,Very Low,57.47,11.54,45.92,32.07,23.07,19.55
10,Durango,10019,OtÌÁez,1.09783,High,85.48,44.92,40.56,13.01,38.11,41.12
10,Durango,10020,PÌÁnuco de Coronado,-1.01123,Very Low,58.55,7.1,51.45,24.28,23.11,20.02
10,Durango,10021,PeÌ±Ì_n Blanco,-0.70508,Very Low,70.15,11.86,58.3,21.87,20.67,27.61
10,Durango,10022,Poanas,-0.85245,Very Low,68.93,10.99,57.93,21.61,22.16,23.43
10,Durango,10023,Pueblo Nuevo,0.17272,Medium,67.78,19.04,48.74,17.45,19.54,20.09
10,Durango,10024,Rodeo,-1.06189,Very Low,53.31,6.59,46.73,18.95,22.12,5.62
10,Durango,10025,San Bernardo,-0.46143,Low,55.45,13.18,42.27,36.94,36.63,23.88
10,Durango,10026,San Dimas,0.60709,High,76.91,31.24,45.67,21.7,25.63,21.81
10,Durango,10027,San Juan de Guadalupe,-0.10053,Low,75.84,24.56,51.28,21,36.54,31.56
10,Durango,10028,San Juan del RÌ_o,-0.8079,Very Low,62.57,8.52,54.05,28.4,22.2,17.32
10,Durango,10029,San Luis del Cordero,-1.01784,Very Low,64.01,16.19,47.82,29.64,30.48,28.96
10,Durango,10030,San Pedro del Gallo,-0.81451,Very Low,55.41,7.71,47.71,37.32,30.67,23.53
10,Durango,10031,Santa Clara,-0.9121,Very Low,79.8,19.9,59.91,15.27,28.82,33.53
10,Durango,10032,Santiago Papasquiaro,-0.74611,Very Low,64.04,16.98,47.06,21.68,24.33,27.44
10,Durango,10033,SÌ¼chil,-0.42768,Low,67.82,14.25,53.57,22.93,29.82,27.17
10,Durango,10034,Tamazula,1.6241,High,83.71,39.11,44.6,15.22,34.11,20.78
10,Durango,10035,Tepehuanes,-0.10673,Low,71.77,20.11,51.66,22.58,31.71,14.02
10,Durango,10036,Tlahualilo,-1.18167,Very Low,52.32,8.16,44.17,22.54,22.9,20.7
10,Durango,10037,Topia,1.32581,High,80.89,39.77,41.11,16.89,35.88,40.9
10,Durango,10038,Vicente Guerrero,-1.03929,Very Low,59.14,13.15,45.99,23.4,18.94,57.17
10,Durango,10039,Nuevo Ideal,-0.7307,Very Low,59.88,14.41,45.47,29.75,37.89,33.94
11,Guanajuato,11001,Abasolo,-0.32731,Low,66.67,13.24,53.43,29.88,34.24,23.49
11,Guanajuato,11002,AcÌÁmbaro,-0.87058,Very Low,56.46,8.33,48.14,29.8,27.56,22.26
11,Guanajuato,11003,San Miguel de Allende,-0.22165,Low,60.56,19.99,40.56,27.49,25.53,28.74
11,Guanajuato,11004,Apaseo el Alto,-0.36287,Low,57.23,10.85,46.37,31.15,27.17,31.35
11,Guanajuato,11005,Apaseo el Grande,-0.5856,Low,52.11,8.36,43.75,30.81,24.62,22.93
11,Guanajuato,11006,Atarjea,0.9195,High,74.7,23.02,51.68,21.33,33.22,6.68
11,Guanajuato,11007,Celaya,-1.24732,Very Low,39.56,4.8,34.77,28.16,18.01,31.05
11,Guanajuato,11008,Manuel Doblado,-0.42643,Low,63.25,15.59,47.67,29.49,37.48,48.55
11,Guanajuato,11009,Comonfort,-0.06073,Low,63.63,16.69,46.94,25.13,26.74,18.48
11,Guanajuato,11010,Coroneo,-0.38675,Low,65.26,10.74,54.52,30.64,28.64,10.9
11,Guanajuato,11011,Cortazar,-0.92002,Very Low,51.25,6.1,45.15,26.29,23.25,26.32
11,Guanajuato,11012,CuerÌÁmaro,-0.55023,Low,68.87,11.35,57.52,24.78,30.72,27.04
11,Guanajuato,11013,Doctor Mora,0.07401,Medium,68,14.94,53.06,26.82,28.62,17.41
11,Guanajuato,11014,Dolores Hidalgo Cuna de la Independencia,-0.15031,Low,60.39,15.36,45.02,30.65,30.83,22.03
11,Guanajuato,11015,Guanajuato,-1.08773,Very Low,35.65,5.39,30.26,31.11,16.07,23.29
11,Guanajuato,11016,HuanÌ_maro,-0.65805,Low,67.6,10.44,57.16,28.77,28.88,14.3
11,Guanajuato,11017,Irapuato,-1.08314,Very Low,42.33,7.42,34.9,25.45,18.68,25.91
11,Guanajuato,11018,Jaral del Progreso,-0.8773,Very Low,57.9,8.07,49.83,27.36,24.27,19.67
11,Guanajuato,11019,JerÌ©cuaro,0.11352,Medium,72.24,18.12,54.12,24.01,34.63,14.6
11,Guanajuato,11020,LeÌ_n,-1.22512,Very Low,36.81,3.98,32.82,29.37,19.78,26.05
11,Guanajuato,11021,MoroleÌ_n,-1.06333,Very Low,49.21,4.55,44.65,38.27,26.17,35.92
11,Guanajuato,11022,Ocampo,-0.12618,Low,62.52,16.16,46.36,34.12,33.58,15.5
11,Guanajuato,11023,PÌ©njamo,-0.3773,Low,67.4,19.91,47.49,23.81,30.09,31.32
11,Guanajuato,11024,Pueblo Nuevo,-0.70162,Very Low,56.32,6.29,50.03,36.24,30.41,23.51
11,Guanajuato,11025,PurÌ_sima del RincÌ_n,-0.70257,Very Low,48.32,5.81,42.51,37.93,32.13,26
11,Guanajuato,11026,Romita,-0.33908,Low,57.15,11.73,45.42,35.64,31.11,13.78
11,Guanajuato,11027,Salamanca,-1.20366,Very Low,44.64,5.61,39.03,25.56,19.56,21.89
11,Guanajuato,11028,Salvatierra,-0.70623,Very Low,64.76,8.93,55.83,26.43,31.14,20.02
11,Guanajuato,11029,San Diego de la UniÌ_n,0.26356,Medium,73.37,18.31,55.05,23.61,33.78,16.43
11,Guanajuato,11030,San Felipe,0.25744,Medium,65.16,17.71,47.45,25.7,30.94,13.84
11,Guanajuato,11031,San Francisco del RincÌ_n,-0.79389,Very Low,42.45,4.51,37.94,39.65,27.74,26.67
11,Guanajuato,11032,San JosÌ© Iturbide,-0.62913,Low,39.22,5.18,34.04,37.52,19.43,20.6
11,Guanajuato,11033,San Luis de la Paz,-0.12449,Low,57.18,10.46,46.72,31.41,26.5,26.78
11,Guanajuato,11034,Santa Catarina,0.53112,Medium,71.16,26.09,45.07,26.43,31.33,10.03
11,Guanajuato,11035,Santa Cruz de Juventino Rosas,-0.31316,Low,69.87,18.47,51.4,19.7,30.81,27.02
11,Guanajuato,11036,Santiago MaravatÌ_o,-0.67504,Low,64.94,8.77,56.18,28.45,34.89,17.91
11,Guanajuato,11037,Silao,-0.55342,Low,56.41,14,42.41,26.56,26.18,17.39
11,Guanajuato,11038,Tarandacuao,-0.8143,Very Low,53.32,7.4,45.93,39.66,28.71,22.97
11,Guanajuato,11039,Tarimoro,-0.5628,Low,62.92,8.96,53.95,29.13,33.28,20.5
11,Guanajuato,11040,Tierra Blanca,0.87123,High,79.13,41.34,37.79,17.91,27.8,9.15
11,Guanajuato,11041,Uriangato,-0.86751,Very Low,56.74,7.77,48.97,35.35,27.91,38.14
11,Guanajuato,11042,Valle de Santiago,-0.53703,Low,59.57,9.27,50.29,31.19,29.62,34.18
11,Guanajuato,11043,Victoria,0.64679,High,76.55,30.38,46.17,18.73,28.16,12.7
11,Guanajuato,11044,VillagrÌÁn,-1.0454,Very Low,51.58,6.69,44.9,29.72,20.17,19.49
11,Guanajuato,11045,XichÌ¼,0.7456,High,77.16,21.15,56.01,20.65,34.25,5.82
11,Guanajuato,11046,Yuriria,-0.40393,Low,57.23,7.41,49.82,35.64,30.54,26.73
12,Guerrero,12001,Acapulco de JuÌÁrez,-0.66806,Low,49.14,13.16,35.98,32.36,19.63,39.4
12,Guerrero,12002,Ahuacuotzingo,2.07543,Very High,92.95,56.9,36.04,6.2,50.84,48.06
